date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:19	16002/16002	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:03%20GMT	https://html.dynamiclayers.net/te/cleanz/blog-single.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/blog-single.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:19	10037/10037	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:40:05%20GMT	https://html.dynamiclayers.net/te/cleanz/contact.html	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/contact.html	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:21	598912/598912	---M--	200	added ('OK')	image/jpeg	etag:%225f0d5414-92380%22	https://html.dynamiclayers.net/te/cleanz/assets/img/slider-1.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/slider-1.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:23	715115/715115	---M--	200	added ('OK')	image/jpeg	etag:%225f0d5415-ae96b%22	https://html.dynamiclayers.net/te/cleanz/assets/img/slider-2.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/slider-2.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:24	587944/587944	---M--	200	added ('OK')	image/jpeg	etag:%225f0d5419-8f8a8%22	https://html.dynamiclayers.net/te/cleanz/assets/img/slider-3.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/slider-3.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:25	165454/165454	---M--	200	added ('OK')	image/jpeg	etag:%225f0d53ab-2864e%22	https://html.dynamiclayers.net/te/cleanz/assets/img/about-bg-3.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/about-bg-3.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:25	7406/7406	---M--	200	added ('OK')	image/png	etag:%225f0d53c1-1cee%22	https://html.dynamiclayers.net/te/cleanz/assets/img/clean.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/clean.png	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:26	125591/125591	---M--	200	added ('OK')	image/jpeg	etag:%225f0d53aa-1ea97%22	https://html.dynamiclayers.net/te/cleanz/assets/img/about-bg-2.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/about-bg-2.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:26	136977/136977	---M--	200	added ('OK')	image/jpeg	etag:%225f0d5404-21711%22	https://html.dynamiclayers.net/te/cleanz/assets/img/service-1.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/service-1.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:27	125664/125664	---M--	200	added ('OK')	image/jpeg	etag:%225f0d5403-1eae0%22	https://html.dynamiclayers.net/te/cleanz/assets/img/service-2.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/service-2.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:29	169622/169622	---M--	200	added ('OK')	image/jpeg	etag:%225f0d5406-29696%22	https://html.dynamiclayers.net/te/cleanz/assets/img/service-3.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/service-3.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:29	5663/5663	---M--	200	added ('OK')	image/png	etag:%225f0d53c2-161f%22	https://html.dynamiclayers.net/te/cleanz/assets/img/cleaning.png	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/cleaning.png	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:31	83059/83059	---M--	200	added ('OK')	image/jpeg	etag:%225f0d53ef-14473%22	https://html.dynamiclayers.net/te/cleanz/assets/img/project-2.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/project-2.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:31	109843/109843	---M--	200	added ('OK')	image/jpeg	etag:%225f0d53ee-1ad13%22	https://html.dynamiclayers.net/te/cleanz/assets/img/project-1.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/project-1.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
10:26:32	91678/91678	---M--	200	added ('OK')	image/jpeg	etag:%225f0d53f1-1661e%22	https://html.dynamiclayers.net/te/cleanz/assets/img/project-3.jpg	/home/rando/websites/denno/html.dynamiclayers.net/te/cleanz/assets/img/project-3.jpg	(from https://html.dynamiclayers.net/te/cleanz/index.html)
